Neighborhood,Crime Ranking,Playground Ranking,School Ranking,Final Ranking
Summer Hill,1,30,70,101
Regent Square,2,30,75,107
North Oakland,3,30,61,94
South Oakland,4,8,78,90
Squirrel Hill South,5,1,5,11
Stanton Heights,6,30,25,61
Shadyside,7,30,40,77
Squirrel Hill North,8,30,26,64
Terrace Village,9,30,23,62
Banksville,10,30,44,84
Greenfield,11,15,16,42
Ridgemont,12,30,78,120
Chartiers City,13,30,78,121
Highland Park,14,4,21,39
Swisshelm Park,15,30,73,118
Morningside,16,15,42,73
Duquense Heights,17,30,60,107
Friendship,18,30,69,117
Brookline,19,15,2,36
Glen Hazel,20,30,63,113
Lincoln Place,21,15,36,72
Troy Hill,22,15,48,85
Upper Lawrenceville,23,8,53,84
Overbrook,24,30,30,84
Spring Hill-City View,25,30,35,90
Central Oakland,26,30,78,134
West Oakland,27,30,68,125
Central Lawrencville,28,30,49,107
Point Breeze,29,30,27,86
Bloomfield,30,15,31,76
Westwood,31,30,29,90
Perry North,32,30,24,86
Mount Washington,33,8,22,63
Polish Hill,34,30,74,138
Beechview,35,2,3,40
Spring Garden,36,30,64,130
Fairywood,37,30,57,124
Lower Lawrenceville,38,30,58,126
Fineview,39,30,56,125
Windgap,40,30,54,124
Bluff,41,32,71,144
Beltzhoover,42,4,33,79
Manchester,43,15,45,103
Marshall-Shadeland,44,15,19,78
South Side Slopes,45,2,43,90
Central Northside,46,15,46,107
Upper Hill,47,30,47,124
Oakwood,48,30,65,143
Point Breeze North,49,30,50,129
Brighton Heights,50,15,7,72
Esplen,51,30,78,159
Elliott,52,8,37,97
Hays,53,30,72,155
Lincoln-Lemington-Belmar,54,15,14,83
Mt. Oliver,55,30,17,102
Carrick,56,8,1,65
Garfield,57,15,13,85
Crafton Heights,58,15,11,84
Perry South,59,30,20,109
Sheraden,60,4,4,68
Hazelwood,61,8,10,79
Allegheny West,62,30,79,171
Northview Heights,63,30,12,105
East Liberty,64,8,15,87
Arlington,65,30,41,136
Knoxville,66,30,6,102
Allentown,67,30,28,125
East Hills,68,30,9,107
South Side Flats,69,15,55,139
California-Kirkbride,70,30,52,152
Crawford-Roberts,71,8,39,118
Bon Air,72,30,67,169
Middle Hill ,73,30,38,141
Larimer,74,30,32,136
Homewood South,75,30,18,123
Homewood West,76,30,51,157
Homewood North,77,30,8,115
Bedford Dwellings,78,30,62,170
East Allegheny,79,30,62,171
Allegheny Center,80,4,59,143
Arlington Heights,81,30,76,187
West End,82,30,77,189
Strip District,83,30,78,191
Central Business District,84,30,78,192
North Shore,85,30,78,193
South Shore,86,30,78,194
Chateau,87,30,78,195
